Response ID,Response started,Response completed,RD1 - Please select the role most applicable to you:,RD2 - How many years of previous programming experience do you have?,RD3 - Do you have any prior experience with Programmable Logic Controllers?,RD4 - Which programming languages do you use to write code for Programmable Logic Controllers?,"W1 - Suppose the following automation task containing two switches and one motor, where to turn the motor ON, both switches must be ON. The possible states for the elements of this task can be described by the table and illustration below:     Using your understanding of Ladder Logic, select the diagram that correctly solves this task:","R1 - Using your understanding of Ladder Logic, look at the diagram below and select the answer that correctly describes this diagram:","W2 - Suppose the following automation task containing two buttons and one light bulb, where to turn the light bulb ON, at least one button must be OFF. The possible states for the elements of this task can be described by the table and illustration below:   Using your understanding of Ladder Logic, select the diagram that correctly solves this task:","R2 - Using your understanding of Ladder Logic, look at the diagram below and select the answer that correctly describes this diagram:","W3 - Suppose the following automation task containing two buttons and one light bulb, where to turn the light ON both buttons must be OFF. The possible states for the elements of this task can be described by the table and illustration below: Using your understanding of Ladder Logic, select the diagram that correctly solves this task:","R3 - Using your understanding of Ladder Logic, look at the diagram below and select the answer that correctly describes this diagram:","W4 - Suppose the following automation task containing two buttons and one light bulb, where for the light to be ON, the two buttons must keep in the same state. The possible states for the elements of this task can be described by the table and illustration below:  Using your understanding of Ladder Logic, select the diagram that correctly solves this task:","R4 - Using your understanding of Ladder Logic, look at the diagram below and select the answer that correctly describes this diagram:","W5 - Suppose the following automation task containing two switches and one sprinkler, where to turn the sprinkler ON, the two switches must be in opposite states. In other words, while one switch is ON, the other must be OFF to activate the sprinkler. The possible states for the elements of this task can be described by the table and illustration below: Using your understanding of Ladder Logic, select the diagram that correctly solves this task:","R5 - Using your understanding of Ladder Logic, look at the diagram below and select the answer that correctly describes this diagram:","Q1 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I think that I would like to use Ladder Logic frequently.]","Q2 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I found Ladder Logic unnecessarily complex.]","Q3 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I thought that Ladder Logic was easy to use.]","Q4 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I think that I would need assistance to be able to use Ladder Logic.]","Q5 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I found the various functions in Ladder Logic were well integrated.]","Q6 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I thought there was too much inconsistency in Ladder Logic.]","Q7 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I would imagine that most people would learn to use Ladder Logic very quickly.]","Q8 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I found Ladder Logic very cumbersome/awkward to use.]","Q9 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I felt very confident using Ladder Logic.]","Q10 - For each one of the following statements, mark the box that best describes your reactions to the Ladder Logic programming language: 
[I needed to learn a lot of things before I could get going with Ladder Logic.]",OQ - What is your opinion about Ladder Logic? Feel free to provide any thoughts about this language or click on the 'Submit' button to submit your answer.
MhzYkdYA,"Jun 03, 2020 05:38:52 AM","Jun 03, 2020 05:51:12 AM",Researcher,3-5 Years,No experience,"Ladder diagram (LD),Function block diagram (FBD),Structured text (ST)","1 - Correct structure, symbols and labels",Light will be turned ON when at least Button A or Button B is ON.,"5 - Wrong structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",4,2,4,4,4,2,5,2,5,2,
lNCNbjYL,"Jun 11, 2020 08:26:31 PM","Jun 11, 2020 08:53:03 PM",Software Developer,5+ Years,5+ Years,"Function block diagram (FBD),Structured text (ST),Sequential function chart (SFC)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels","Light will never be turned ON, regardless the state of the input elements (Button A and Button B).","1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","3 - Correct structure and labels, wrong symbols","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",4,1,1,1,1,2,3,1,4,1,"Ladder logic is good for simple motor run/stop, light on/off logic. This does not need a special skills to understand and write the logic. Ladder logic can't be used for more complex or coordinated  control programming. The complexity of the logic will make the ladder logic complex or rather useless. The complexity of the logic decides which programming is the best suited for it."
uIbxXDCl,"Jun 12, 2020 01:13:06 AM","Jun 12, 2020 01:24:35 AM",Engineer,3-5 Years,< 1 Year,"Function block diagram (FBD),Structured text (ST)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON or the Water Level Detector is OFF.,"2 - Correct structure and symbols, wrong labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",2,1,4,1,3,1,4,1,3,1,"Ladder Logic is fine for small Processes.
But larger Projects Go with DCS and Control Builder, SFC and FBD."
67Cs4eIG,"Jun 12, 2020 01:31:43 AM","Jun 12, 2020 01:47:02 AM",Engineer,5+ Years,No experience,"Function block diagram (FBD),Structured text (ST)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, and the Test Button is OFF.","2 - Correct structure and symbols, wrong labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",5,3,4,4,4,3,5,1,4,5,
RlCC4xRC,"Jun 12, 2020 01:51:52 AM","Jun 12, 2020 01:59:04 AM",Engineer,3-5 Years,3-5 Years,"Ladder diagram (LD),Function block diagram (FBD),Structured text (ST)","1 - Correct structure, symbols and labels",Light will be turned ON when at least Button A or Button B is ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",4,2,4,1,4,2,5,1,4,1,
bQBoJkwU,"Jun 12, 2020 02:06:42 AM","Jun 12, 2020 02:46:01 AM",Other,5+ Years,3-5 Years,"Ladder diagram (LD),Function block diagram (FBD),Structured text (ST),Instruction list (IL),Sequential function chart (SFC)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",4,2,3,2,4,4,3,2,5,2,"I was using this ladder when migrating other small PLC like Hima/Siemens/GE into Ac800M.
But to be sure no idea how much load it will make compare to FBD as people are well versed with ready made AND/OR logics rather than LL because it needs some workout before implementing LL"
Uub9iFqc,"Jun 12, 2020 02:42:03 AM","Jun 12, 2020 03:14:34 AM",Engineer,No programming experience,No experience,"Function block diagram (FBD),Structured text (ST),Sequential function chart (SFC)","5 - Wrong structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels","Light will never be turned ON, regardless the state of the input elements (Button A and Button B).","2 - Correct structure and symbols, wrong labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",4,1,5,3,3,2,4,1,5,2,
ajCNWqUd,"Jun 13, 2020 12:34:05 AM","Jun 13, 2020 01:07:05 AM",Engineer,3-5 Years,1-2 Years,"Ladder diagram (LD),Function block diagram (FBD)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",3,4,3,3,3,4,3,2,2,3,At initially is easy understand when for small programs. But when we enter in complex programs it is very difficult to play around and bug findings
mKBoiCRI,"Jun 13, 2020 12:56:37 AM","Jun 13, 2020 01:18:29 AM",Engineer,5+ Years,5+ Years,"Ladder diagram (LD),Function block diagram (FBD),Structured text (ST),Sequential function chart (SFC)","1 - Correct structure, symbols and labels",Light will be turned ON when at least Button A or Button B is ON.,"2 - Correct structure and symbols, wrong labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"2 - Correct structure and symbols, wrong labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",1,2,4,1,1,1,5,4,2,1,"Ladder Logic is very simple for maintenance guys, however it is too much time consuming to develop and maintain a program. Ex: for a X-Or block I need to use 2 NC & 2No contact. Large program will take more huge space in LD than FBD. Only Bool expression can be written in LD."
yfCCksQY,"Jun 14, 2020 11:14:14 PM","Jun 14, 2020 11:44:26 PM",Engineer,5+ Years,No experience,"Function block diagram (FBD),Structured text (ST),Sequential function chart (SFC)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",2,2,3,3,3,2,3,3,2,4,"If a Output is generated at page 2 and can be further used in different pages like 10,15,27 etc then it takes time for Programmer to recheck the variable/code. Reading or Writing Diagnostics information takes more time."
tUBUhWTa,"Jun 15, 2020 10:31:54 AM","Jun 15, 2020 10:58:40 AM",Engineer,5+ Years,< 1 Year,"Ladder diagram (LD),Function block diagram (FBD)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"3 - Correct structure and labels, wrong symbols",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",2,2,5,1,3,3,4,1,5,1,"1.easy for troubleshooting in online/plant running conditions,
2.but creating a complicated/big logic is tedious/inconvenient from working point of view ( not at all difficult to understand though)"
zfB3mXRb,"Jun 15, 2020 08:25:38 PM","Jun 15, 2020 08:44:07 PM",Engineer,5+ Years,5+ Years,"Function block diagram (FBD),Structured text (ST),Sequential function chart (SFC)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",1,3,3,1,4,3,4,4,4,1,"Compared to Ladder Logic, Functional Block Diagram approach is better."
N3BoVaD5,"Jun 15, 2020 09:33:53 PM","Jun 15, 2020 09:59:25 PM",Engineer,5+ Years,5+ Years,"Function block diagram (FBD),Structured text (ST),Sequential function chart (SFC)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"2 - Correct structure and symbols, wrong labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON only when Button A is ON and button B is OFF.,"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",1,4,2,2,1,2,2,2,2,2,Compared to other programming language Ladder is bit difficult to understand.
KDCN0tGY,"Jun 15, 2020 09:36:03 PM","Jun 15, 2020 10:13:59 PM",Engineer,5+ Years,3-5 Years,"Function block diagram (FBD),Structured text (ST),Sequential function chart (SFC)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"2 - Correct structure and symbols, wrong labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",,,,,,,,,,,Am not used ladder logic in my career but as per little knowledge I have these logics are difficult to debug in complex logics or in other words ladder logics are easy to understand for processor not for humans.
J0CCp6IP,"Jun 15, 2020 09:54:09 PM","Jun 15, 2020 10:04:26 PM",Software Developer,5+ Years,5+ Years,"Ladder diagram (LD),Function block diagram (FBD),Structured text (ST),Sequential function chart (SFC)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON or the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",4,2,4,2,2,2,2,2,5,2,
xxzRbRV6,"Jun 15, 2020 10:34:56 PM","Jun 15, 2020 11:02:56 PM",Engineer,3-5 Years,3-5 Years,"Ladder diagram (LD),Function block diagram (FBD),Structured text (ST)","1 - Correct structure, symbols and labels",Light will only be turned ON when both Button A and Button B are ON.,"1 - Correct structure, symbols and labels",Water Pump will be turned ON when the Button is ON and the Water Level Detector is OFF.,"1 - Correct structure, symbols and labels",Light will be turned ON when Button A and Button B have different states (ON and OFF or OFF and ON),"1 - Correct structure, symbols and labels","Alarm will be turned ON when both the Smoke and Carbon Monoxide detectors are ON, or when the Test Button is ON.","1 - Correct structure, symbols and labels","Boiler will be turned ON when the Start Button is ON, and the Stop Button and Heat Sensor are OFF.",5,1,5,3,4,1,3,2,5,3,"I feel, it is matter of practice and would know basic concepts of symbols using in Ladder logics."
